RTO Loc,RTO Code
Adilabad - Mancherial / Nirmal,AP-01
Anantapur - Hindupur,AP-02
Chittoor - Tirupati / Madanapalle,AP-03
Kadapa - Proddatur,AP-04
Kakinada / Amalapuram / Rajahmundry,AP-05
Guntur - Piduguralla / Narasaraopet / Repalle,AP-07
Hyderabad Central (Khairtabad),AP-09
Hyderabad North (Secunderabad),AP-10
Hyderabad East (Malakpet),AP-11
Hyderabad South (Kisanbagh),AP-12
Hyderabad West (Mehdipatnam),AP-13
Karimnagar - Jagtial / Peddapalli,AP-15
Vijayawada / Gudivada / Machilipatnam / Nandigama / Nuzvid,AP-16
Khammam - Kothagudem / Sathupally / Yellandu,AP-20
Kurnool - Adoni / Nandyal,AP-21
Mahbubnagar - Pebbair / Gadwal,AP-22
Medak - Sangareddy / Siddipet / Patancheru,AP-23
Nalgonda - Suryapet / Miryalaguda / Bhongir / Bibinagar,AP-24
Nizamabad - Kamareddy,AP-25
Nellore - Kavali / Gudur / Sullurpeta / Naidupet,AP-26
Ongole - Chirala / Markapur,AP-27
Attapur / Kukatpally / Medchal,AP-28
Uppal Kalan / Ibrahimpatnam,AP-29
Srikakulam -Tekkali / Palasa / Sompeta / Ichchapuram / Kaviti,AP-30
Visakhapatnam - Gajuwaka / Anakapalli,AP-31
Vizianagaram,AP-35
Warangal - Jangaon / Mahabubabad,AP-36
Eluru / Jangareddygudem / Kovvur / Tadepalligudem / Tanuku /Bhimavaram / Palakollu / Chintalapudi,AP-37
,
"Guwahati, Kamrup",AS-01
Nagaon,AS-02
Jorhat,AS-03
Sibsagar,AS-04
Golaghat,AS-05
Dibrugarh,AS-06
Lakhimpur district,AS-07
Dima Hasao,AS-08
Karbi Anglong,AS-09
Karimganj,AS-10
Cachar,AS-11
Sonitpur,AS-12
Darrang,AS-13
Nalbari,AS-14
Barpeta,AS-15
Kokrajhar,AS-16
Dhubri,AS-17
Goalpara,AS-18
Bongaigaon,AS-19
Assam,AS-20
Marigaon,AS-21
Dhemaji,AS-22
Tinsukia,AS-23
Hailakandi,AS-24
Kamrup Rural,AS-25
Chirang,AS-26
Udalguri,AS-27
Baksa,AS-28
Assam new series,AS-29
Assam,AS-30
Assam,AS-31
,
Chhattisgarh,CG-01
Chhattisgarh,CG-02
Chhattisgarh,CG-03
Raipur,CG-04
Dhamtari,CG-05
Mahasamund,CG-06
Durg,CG-07
Rajnandgaon,CG-08
Kabirdham,CG-09
Bilaspur,CG-010
Janjgir-Champa,CG-011
Korba,CG-012
Raigarh,CG-013
Jashpur,CG-014
Sarguja,CG-015
Koriya,CG-016
Jagdalpur,CG-017
Dantewada,CG-018
Kanker,CG-019
Bijapur,CG-020
Narayanpur,CG-021
Baloda Bazar,CG-022
Gariyaband,CG-023
Balod,CG-024
Bemetara,CG-025
Sukma,CG-026
Kondagaon,CG-027
Mungeli,CG-028
Surajpur,CG-029
Balrampur,CG-030
,
Ahmedabad,GJ-01
Mehsana,GJ-02
Rajkot,GJ-03
Bhavnagar,GJ-04
Surat,GJ-05
Surat,GJ-06
Kheda,GJ-07
BanasKantha,GJ-08
SabarKantha,GJ-09
Jamnagar,GJ-10
Junagadh,GJ-11
Kutch / Kachchh,GJ-12
Surendranagar,GJ-13
Amreli,GJ-14
Valsad,GJ-15
Bharuch,GJ-16
Panchmahal,GJ-17
Gandhinagar,GJ-18
Bardoli,GJ-19
Dahod,GJ-20
Navsari,GJ-21
Navsari,GJ-22
Anand,GJ-23
Patan,GJ-24
Porbandar,GJ-25
Tapi (Vyara),GJ-26
Ahmedabad East,GJ-27
Surat West (Pal),GJ-28
Vadodara Rural,GJ-29
Dang (Ahwa),GJ-30
Gandhidham - Tehsil (Taluko) of Kutch District,GJ-31
Botad,GJ-32
Arvalli (Modasa),GJ-33
Devbhumi Dwarka,GJ-34
Mahisagar (Lunawada),GJ-35
Morbi (Morvi) District,GJ-36
Chhota Udaipur,GJ-37
Gir Somnath,GJ-38
,
Shimla,HP-01
Shimla,HP-02
Shimla,HP-03
Dharamsala,HP-04
Mandi,HP-05
Rampur,HP-06
Shimla,HP-07
Chaupal,HP-08
Theog,HP-09
Rohru,HP-10
Arki,HP-11
Nalagarh,HP-12
Kandaghat,HP-13
Solan,HP-14
Parwanoo,HP-15
Rajgarh,HP-16
Paonta Sahib,HP-17
Nahan,HP-18
Amb,HP-19
Una,HP-20
Barsar,HP-21
Hamirpur,HP-22
Ghumarwin,HP-23
Bilaspur,HP-24
Kalpa,HP-25
Nichar,HP-26
Pooh,HP-27
Sarkaghat,HP-28
Jogindernagar,HP-29
Karsog,HP-30
Sundernagar,HP-31
Gohar,HP-32
Mandi,HP-33
Kullu,HP-34
Anni,HP-35
Dehra,HP-36
Palampur,HP-37
Nurpur,HP-38
Dharamshala,HP-39
Kangra,HP-40
Kaza,HP-41
Keylong,HP-42
Udaipur,HP-43
Churah,HP-44
Pangi,HP-45
Bharmour,HP-46
Dalhousie,HP-47
Chamba,HP-48
Banjar,HP-49
Shimla,HP-50
Shimla,HP-51
Shimla,HP-52
Baijnath,HP-53
Jawali,HP-54
Nadaun,HP-55
Jaisinghpur,HP-56
Chowari,HP-57
Manali,HP-58
Solan,HP-59
Hamirpur,HP-60
Kullu,HP-61
Shimla,HP-62
Shimla,HP-63
Solan,HP-64
Mandi,HP-65
Kullu,HP-66
Hamirpur,HP-67
Dharamsala,HP-68
Bilaspur,HP-69
Nahan,HP-71
Una,HP-72
Chamba,HP-73
Paddhar,HP-74
"Dodra Kawar, Distt. Shimla",HP-76
"Bangana, Distt. Una",HP-77
"Sangrah, Distt. Sirmaur",HP-78
"Haroli, Distt. Una",HP-79
"Salooni, Distt. Chamba",HP-80
,
Ranchi,JH-01
Hazaribagh,JH-02
Daltonganj,JH-03
Dumka,JH-04
Jamshedpur,JH-05
Chaibasa,JH-06
Gumla,JH-07
Lohardaga,JH-08
Bokaro Steel City,JH-09
Dhanbad,JH-10
Giridih,JH-11
Koderma,JH-12
Chatra,JH-13
Garhwa,JH-14
Deoghar,JH-15
Pakur,JH-16
Godda,JH-17
Sahibganj,JH-18
Latehar,JH-19
